year,season,Ftemp
2004,Spring,52.72631423913048
2004,Summer,72.90519663043482
2004,Winter,30.802825736263774
2005,Fall,59.148688109890145
2005,Spring,48.96851997826092
2005,Summer,75.99734345652178
2005,Winter,32.870289000000035
2006,Fall,57.302131406593446
2006,Spring,51.80618065217396
2006,Summer,75.0898110434783
2006,Winter,35.172832600000035
2007,Fall,58.986448373626416
2007,Spring,50.597108326087
2007,Summer,73.69880489130439
2007,Winter,35.812328800000046
2008,Fall,56.039838879120914
2008,Spring,51.21600623913047
2008,Summer,74.93419908695657
2008,Winter,35.03868602197806
2009,Fall,56.86493356043961
2009,Spring,51.55033178260874
2009,Summer,72.3928784782609
2009,Winter,32.75762580000004
2010,Fall,58.09449358241762
2010,Spring,55.55611165217396
2010,Summer,77.28043393478265
2010,Winter,32.499324400000035
2011,Fall,58.831182549450595
2011,Spring,52.6392877608696
2011,Summer,75.7564590434783
2011,Winter,30.91850440000004
2012,Fall,56.43946261538465
2012,Spring,55.84168204347829
2012,Summer,75.22017017391308
2012,Winter,39.178596615384656
2013,Fall,55.58947591208797
2013,Spring,50.56167493478265
2013,Summer,74.6098703913044
2013,Winter,36.11677620000003
2014,Fall,56.46101830769235
2014,Spring,49.134556086956565
2014,Summer,73.09785063043482
2014,Winter,30.150664200000037
2015,Fall,59.49497567032972
2015,Spring,50.72869595652178
2015,Summer,74.736476326087
2015,Winter,29.74755120000005
2016,Fall,58.7253682637363
2016,Spring,53.02516569565222
2016,Summer,76.11699786956525
2016,Winter,39.28738742857147
2017,Fall,59.32562257142861
2017,Spring,51.406371500000034
2017,Summer,74.12300013043482
2017,Winter,37.454248600000035
2018,Fall,57.275906791208826
2018,Spring,50.7299970434783
2018,Summer,75.66834923913048
2018,Winter,34.26366760000005
2019,Fall,57.05169701098905
2019,Spring,51.84451439130439
2019,Summer,75.46834536956526
2019,Winter,35.08016860000004
2020,Fall,58.629243516483555
2020,Spring,51.60437384782613
2020,Summer,76.10242080434787
2020,Winter,37.68813351648355
2021,Fall,59.53253613186816
2021,Spring,52.65954480434787
2021,Summer,75.47882000000004
2021,Winter,34.75457520000004
2022,Winter,42.48531877419358
