year,month,Ftemp
2017,5,60.711456258064565
2017,6,72.00918620000003
2017,7,76.66342438709681
2017,8,73.62820225806456
2017,9,69.16243220000004
2017,10,62.61120529032262
2017,11,46.09371080000004
2017,12,34.627130774193596
2018,1,29.49964787096779
2018,2,39.1357123571429
2018,3,39.20770516129036
2018,4,47.827253000000034
2018,5,65.06139606451616
2018,6,71.09169800000004
2018,7,77.60160180645165
2018,8,78.16411400000004
2018,9,70.38600260000004
2018,10,57.2610612258065
2018,11,44.181151400000026
2018,12,38.8304216774194
2019,1,32.27469045161295
2019,2,34.034167785714324
2019,3,39.9972025806452
2019,4,53.92933640000004
2019,5,61.674256516129084
2019,6,71.79180680000005
2019,7,79.50416929032262
2019,8,74.99046200000005
2019,9,68.92532360000004
2019,10,59.11014025806456
2019,11,43.05101240000004
2019,12,37.01459387096778
2020,1,37.71779696774198
2020,2,38.37641496551728
2020,3,45.813416000000046
2020,4,49.374556400000046
2020,5,59.55321954838714
2020,6,72.55261640000005
2020,7,79.29956445161295
2020,8,76.34057174193552
2020,9,67.87187780000005
2020,10,57.97540574193552
2020,11,50.06224160000004
2020,12,38.14979580645164
2021,1,33.878975870967786
2021,2,31.964994500000046
2021,3,43.23443987096777
2021,4,53.02111220000005
2021,5,61.734745806451656
2021,6,73.08455480000003
2021,7,76.46186503225812
2021,8,76.81280580645166
2021,9,70.57359800000002
2021,10,61.972970580645196
2021,11,45.96969200000004
2021,12,42.48531877419358
